categoria,subcategoria,nome,preço,info,openBox,imagem,site,url,data
hardware,disco-rigido-hd,"HD Seagate 2TB BarraCuda, 3.5, SATA - ST2000DM008",419.99,2TB,False,https://images.kabum.com.br/produtos/fotos/100916/100916_1552934430_index_m.jpg,kabum,https://www.kabum.com.br/https://www.kabum.com.br/produto/100916/hd-seagate-2tb-barracuda-3-5-sata-st2000dm008,10-06-2024 11:06:09
hardware,disco-rigido-hd,"HD Seagate 4TB BarraCuda, 3.5, SATA - ST4000DM004",639.99,4TB,False,https://images.kabum.com.br/produtos/fotos/95803/95803_1522867513_index_m.jpg,kabum,https://www.kabum.com.br/https://www.kabum.com.br/produto/95803/hd-seagate-4tb-barracuda-3-5-sata-st4000dm004,10-06-2024 11:06:09
hardware,disco-rigido-hd,"HD Western Digital Purple, 2TB, 64mb, Sata 3 - WD23PURZ",429.99,2TB,False,https://images.kabum.com.br/produtos/fotos/472212/hd-western-digital-purple-2tb-64mb-sata-3-wd23purz_1695294733_m.jpg,kabum,https://www.kabum.com.br/https://www.kabum.com.br/produto/472212/hd-western-digital-purple-2tb-64mb-sata-3-wd23purz,10-06-2024 11:06:09
hardware,disco-rigido-hd,"HD WD Red Plus, 4TB, 5400 RPM, 3.5, SATA - WD40EFPX",699.99,4TB,False,https://images.kabum.com.br/produtos/fotos/460466/hd-wd-red-plus-4tb-5400-rpm-3-5-sata-wd40efpx_1691495627_m.jpg,kabum,https://www.kabum.com.br/https://www.kabum.com.br/produto/460466/hd-wd-red-plus-4tb-5400-rpm-3-5-sata-wd40efpx,10-06-2024 11:06:09
hardware,disco-rigido-hd,"HD WD Red Plus, 6TB, 5400 RPM, 3.5, SATA - WD60EFPX",999.99,6TB,False,https://images.kabum.com.br/produtos/fotos/460467/hd-wd-red-plus-6tb-5400-rpm-3-5-sata-wd60efpx_1691496512_m.jpg,kabum,https://www.kabum.com.br/https://www.kabum.com.br/produto/460467/hd-wd-red-plus-6tb-5400-rpm-3-5-sata-wd60efpx,10-06-2024 11:06:09
hardware,disco-rigido-hd,"HD WD Blue 1TB, 3.5, SATA - WD10EZEX",389.99,1TB,True,https://images.kabum.com.br/produtos/fotos/63735/63735_1433187476_m.jpg,kabum,https://www.kabum.com.br/https://www.kabum.com.br/produto/63735/hd-wd-blue-1tb-3-5-sata-wd10ezex,10-06-2024 11:06:09
hardware,disco-rigido-hd,"HD Interno Seagate 10TB IronWolf, NAS, 7.200 RPM, 256Mb, 3.5, SATA - ST10000VN000",1999.99,10TB,False,https://images.kabum.com.br/produtos/fotos/357714/hd-interno-seagate-10tb-ironwolf-nas-7-200-rpm-256mb-3-5-sata-st10000vn000_1666113603_m.jpg,kabum,https://www.kabum.com.br/https://www.kabum.com.br/produto/357714/hd-interno-seagate-10tb-ironwolf-nas-7-200-rpm-256mb-3-5-sata-st10000vn000,10-06-2024 11:06:09
hardware,disco-rigido-hd,"HD Seagate SkyHawk AI, 18TB, Cache 256MB, SATA - ST18000VE002",2399.99,18TB,False,https://images.kabum.com.br/produtos/fotos/166087/hd-seagate-skyhawk-ai-18tb-cache-256mb-sata-st18000ve002_1629981135_m.jpg,kabum,https://www.kabum.com.br/https://www.kabum.com.br/produto/166087/hd-seagate-skyhawk-ai-18tb-cache-256mb-sata-st18000ve002,10-06-2024 11:06:09
hardware,disco-rigido-hd,"HD Western Digital 1TB Caviar Blue, 7200 RPM, Cachê 64MB, 3.5, SATA III - WD10EZEX",267.63,1TB,False,https://images.kabum.com.br/produtos/fotos/sync_mirakl/196450/HD-Western-Digital-1TB-Caviar-Blue-7200-RPM-Cach-64MB-3-5-SATA-III-WD10EZEX_1714493100_m.jpg,kabum,https://www.kabum.com.br/https://www.kabum.com.br/produto/196450/hd-western-digital-1tb-caviar-blue-7200-rpm-cache-64mb-3-5-sata-iii-wd10ezex,10-06-2024 11:06:10
hardware,disco-rigido-hd,"HD Seagate Exos 7E10, 2TB, 7200 RPM, 3.5, SATA - ST2000NM000B",899.99,2TB,False,https://images.kabum.com.br/produtos/fotos/397739/hd-seagate-exos-7e10-2tb-7200-rpm-3-5-sata-st2000nm000b_1668805004_m.jpg,kabum,https://www.kabum.com.br/https://www.kabum.com.br/produto/397739/hd-seagate-exos-7e10-2tb-7200-rpm-3-5-sata-st2000nm000b,10-06-2024 11:06:10
hardware,disco-rigido-hd,"HD Seagate 4TB IronWolf Desktop, NAS, 5400 RPM, 256MB, 3.5, SATA 6 - ST4000VN006",768.98,4TB,False,https://images.kabum.com.br/produtos/fotos/sync_mirakl/393590/HD-Seagate-4TB-IronWolf-Desktop-NAS-5400-RPM-256MB-3-5-SATA-6-ST4000VN006_1717703993_m.jpg,kabum,https://www.kabum.com.br/https://www.kabum.com.br/produto/393590/hd-seagate-4tb-ironwolf-desktop-nas-5400-rpm-256mb-3-5-sata-6-st4000vn006,10-06-2024 11:06:10
hardware,disco-rigido-hd,"HD Interno WD Gold Enterprise Class, 6TB, 7200 RPM, 3.5, SATA - WD6003FRYZ",1499.99,6TB,True,https://images.kabum.com.br/produtos/fotos/315968/hd-interno-wd-gold-enterprise-class-6tb-7200-rpm-3-5-sata-wd6003fryz_1647548244_m.jpg,kabum,https://www.kabum.com.br/https://www.kabum.com.br/produto/315968/hd-interno-wd-gold-enterprise-class-6tb-7200-rpm-3-5-sata-wd6003fryz,10-06-2024 11:06:10
